ORI,year,department_id,total_pop,homs_sum,rape_sum,rob_sum,agg_ass_sum,violent_crime,months_reported,violent_per_100k,homs_per_100k,rape_per_100k,rob_per_100k,agg_ass_per_100k,latitude,longitude
TX07102,1975,18,369000.0,21.0,122.0,840.0,635.0,1618.0,12.0,438.48238482384807,5.69105691056911,33.062330623306195,227.642276422764,172.086720867209,31.772543,-106.460953
VA02901,1975,19,487905.0,21.0,104.0,433.0,247.0,805.0,12.0,164.991135569424,4.304116580071939,21.315624967975303,88.7467847224357,50.6246092989414,38.854004,-77.356918
TX22012,1975,20,381275.0,69.0,169.0,1207.0,494.0,1939.0,12.0,508.55681594649496,18.0971739558062,44.32496229755429,316.569405284899,129.565274408236,32.768799,-97.309341
CA01005,1975,21,176500.0,25.0,84.0,567.0,465.0,1141.0,12.0,646.458923512748,14.1643059490085,47.5920679886686,321.246458923513,263.456090651558,36.746841,-119.772591
HI00200,1975,22,705262.0,58.0,169.0,1050.0,319.0,1596.0,12.0,226.29887899816,8.22389409893061,23.962725908953,148.880841446158,45.23141754411839,21.315603,-157.858093
TXHPD00,1975,23,1372342.0,347.0,588.0,6422.0,1567.0,8924.0,12.0,650.275222940054,25.285242308404197,42.8464624707252,467.959153039111,114.184365121814,29.749907,-95.358421
INIPD00,1975,24,503411.0,95.0,351.0,3092.0,1117.0,4655.0,12.0,924.691752861976,18.8712602624893,69.72434054877621,614.20986033281,221.8862917179,39.768403,-86.158068
FL01602,1975,25,542792.0,91.0,316.0,1727.0,2445.0,4579.0,12.0,843.601232147858,16.765169715102697,58.21751241727961,318.169759318487,450.44879069698897,30.332184,-81.655647
MOKPD00,1975,26,489094.0,114.0,302.0,3081.0,2575.0,6072.0,12.0,1241.47914306861,23.3084028836992,61.7468216743612,629.940256883135,526.483661627417,39.099724,-94.578331
NV00201,1975,27,249186.0,37.0,169.0,1345.0,1043.0,2594.0,12.0,1040.98946168725,14.8483462152769,67.8208246049136,539.75745025804,418.562840609023,36.114647,-115.172813
CA01941,1975,28,340758.0,54.0,169.0,1959.0,1007.0,3189.0,12.0,935.854770834434,15.847023400771198,49.5953139764877,574.894793372423,295.51764008475203,33.77005,-118.193741
CA01942,1975,29,2729878.0,554.0,1768.0,14590.0,13493.0,30405.0,12.0,1113.78603732474,20.2939472020361,64.7647990129962,534.456118551818,494.271172557895,34.052235,-118.243683
CA01900,1975,30,1022888.0,138.0,471.0,3055.0,6128.0,9792.0,12.0,957.289556627901,13.4912131142412,46.046096933388604,298.664174376862,599.0880722034079,34.052235,-118.243683
KY05680,1975,31,,,,,,,,,,,,,38.328732,-85.764771
TNMPD00,1975,32,646483.0,120.0,521.0,2983.0,1805.0,5429.0,12.0,839.7745957743671,18.5619730139849,80.5898995023844,461.41971250597504,279.20301075202303,35.1175,-89.971107
AZ00717,1975,33,113176.0,2.0,22.0,98.0,145.0,267.0,12.0,235.91574185339599,1.7671591150067198,19.4387502650739,86.590796635329,128.119035837987,33.424564,-111.833267
FL01306,1975,34,350742.0,98.0,178.0,2657.0,3280.0,6213.0,12.0,1771.3875156097602,27.9407655769768,50.7495538030803,757.536878959463,935.160317270244,25.761681,-80.191788
FL01300,1975,35,619795.0,94.0,174.0,2426.0,4008.0,6702.0,11.0,1081.32527690607,15.166304987939599,28.0737985946966,391.419743624908,646.665429698529,25.778135,-80.1791
WIMPD00,1975,36,674369.0,70.0,146.0,1968.0,1020.0,3204.0,12.0,475.11080728799794,10.3800738171535,21.649868247205898,291.82836103082997,151.252504192808,43.038902,-87.906471
MN02711,1975,37,405378.0,47.0,307.0,1838.0,1134.0,3326.0,12.0,820.468797024012,11.594117095648999,75.73178613540941,453.403983442614,279.73891035034,44.986656,-93.258133
MD01604,1975,38,496092.0,19.0,84.0,578.0,286.0,967.0,12.0,194.923522249905,3.8299347701635997,16.932343194407498,116.510647218661,57.6505970666731,39.1501072,-77.1997039
TN01901,1975,39,449600.0,93.0,110.0,2003.0,952.0,3158.0,12.0,702.402135231317,20.685053380782897,24.466192170818502,445.507117437722,211.74377224199299,36.174465,-86.76796
NY02900,1975,40,1100426.0,18.0,33.0,686.0,256.0,993.0,12.0,90.23778064131528,1.6357301626824499,2.9988386315845,62.3394939777868,23.263717869261498,40.7506561,-73.582905
LANPD00,1975,41,571934.0,158.0,237.0,3596.0,2002.0,5993.0,12.0,1047.84817828631,27.6255651875916,41.4383477813874,628.743876041641,350.04038927568604,29.951065,-90.071533
NY03030,1975,42,7422506.0,1645.0,3866.0,83190.0,43481.0,132182.0,12.0,1780.82712226841,22.1623263086618,52.0848349600526,1120.7805018951801,585.7994591045131,40.73061,-73.935242
NJNPD00,1975,43,372663.0,122.0,297.0,4273.0,2444.0,7136.0,12.0,1914.8667831257699,32.737352514201795,79.6966696452291,1146.61235486217,655.8204061041739,40.735657,-74.172363
CA00109,1975,44,337748.0,111.0,316.0,3185.0,2288.0,5900.0,12.0,1746.86452621481,32.864739391499,93.5608797091323,943.010765422741,677.428141691439,37.804363,-122.271111
OK05506,1975,45,384081.0,61.0,249.0,992.0,1364.0,2666.0,12.0,694.124416464235,15.8820665432552,64.8300749060745,258.278852637855,355.13342237705103,35.481918,-97.508469
NB02802,1975,46,391389.0,36.0,178.0,1211.0,1115.0,2540.0,12.0,648.970717112642,9.19801016380123,45.4790502543505,309.41084189898,284.88281479551,41.25716,-95.995102
FL04804,1975,47,118457.0,21.0,86.0,304.0,705.0,1116.0,12.0,942.114016056459,17.727951915040897,72.6001840330246,256.633208674878,595.152671433516,28.538336,-81.379234
PAPEP00,1975,48,1883253.0,435.0,716.0,10405.0,4776.0,16332.0,12.0,867.2228319827451,23.098330388959997,38.0193208241272,552.501442981904,253.603737787753,39.952583,-75.165222
AZ00723,1975,49,668046.0,75.0,311.0,1938.0,2325.0,4649.0,12.0,695.91016187508,11.2267718091269,46.55368043517961,290.099783547839,348.029926082934,33.448376,-112.074036
